NO_OF_FRAMES	3152
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user2 - model - combined
TIME_STAMP	2018-11-20, 14:50:46	274090.60850493
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
227.803	-1077.335	187.040	231.806	1141.881	186.729	220.642	809.999	112.818	291.530	-219.711	-17.283	298.788	256.537	-20.966	128.692	-214.561	80.336	179.058	-222.920	282.116	204.577	-201.950	480.128	150.158	246.109	52.386	180.617	246.815	265.738	242.251	217.076	473.428	216.932	-208.251	713.805	226.644	221.226	741.848	350.061	269.043	835.094	278.335	-288.870	845.356	214.078	190.481	941.370	195.259	-177.598	943.681	76.396	21.607	1033.049	75.961	15.145	1133.037	66.836	16.880	1215.039	148.184	17.379	1488.153	221.333	-208.761	1388.233	179.255	-267.664	1106.469	251.033	286.507	1100.624	259.926	223.909	1392.256	150.571	-6.975	1609.141	304.926	-98.614	1666.340	397.226	1.035	1665.203	267.930	107.852	1658.334
227.937	-1077.339	187.104	231.877	1141.825	186.616	220.730	809.976	112.758	291.784	-219.668	-17.258	298.852	256.460	-20.968	128.857	-214.505	80.316	179.262	-222.837	282.118	204.364	-201.610	480.007	150.251	246.139	52.436	180.555	246.906	265.656	241.539	217.309	473.359	215.269	-208.095	713.689	224.699	221.242	741.840	349.355	269.420	832.856	277.237	-288.209	843.582	211.833	190.250	941.292	192.738	-177.491	943.398	74.490	21.582	1034.057	75.053	15.076	1134.261	66.952	16.716	1216.390	151.852	17.243	1488.528	224.166	-208.850	1387.273	180.814	-266.970	1105.573	252.802	285.638	1099.434	262.909	223.404	1390.911	156.801	-7.230	1610.910	312.680	-98.385	1662.848	404.874	0.350	1660.161	275.366	107.238	1657.185
227.962	-1077.362	187.103	231.986	1141.816	186.658	220.865	809.973	112.861	291.866	-219.684	-17.259	298.928	256.355	-20.988	128.921	-214.481	80.362	179.373	-222.895	282.083	204.153	-201.365	479.927	150.248	246.175	52.354	180.460	247.010	265.570	240.856	217.561	473.365	213.460	-207.949	713.509	223.176	221.458	741.359	348.632	269.862	830.616	276.074	-287.680	841.651	209.558	189.978	941.317	190.053	-177.412	943.080	72.700	21.651	1035.018	74.076	15.052	1135.445	67.176	16.514	1217.651	155.675	17.088	1488.729	227.165	-208.942	1386.327	182.445	-265.826	1104.385	254.700	284.778	1098.281	265.605	222.536	1388.949	163.377	-7.594	1612.473	320.472	-99.070	1659.745	412.643	-0.325	1654.793	283.013	106.548	1655.829
228.049	-1077.356	187.180	232.066	1141.822	186.802	220.956	809.968	112.976	291.982	-219.652	-17.312	298.959	256.259	-20.938	129.157	-214.451	80.354	179.611	-222.943	282.038	203.911	-201.170	479.884	150.217	246.245	52.339	180.388	247.176	265.489	240.213	217.889	473.365	211.697	-207.800	713.408	221.596	221.775	740.951	347.860	270.368	828.266	274.943	-287.127	839.772	207.145	189.834	941.348	187.333	-177.271	942.796	70.782	21.652	1036.133	73.280	15.017	1136.638	67.416	16.440	1218.969	159.589	16.904	1488.898	230.341	-209.079	1385.210	183.888	-265.185	1103.358	256.559	283.971	1097.082	268.971	222.015	1387.637	170.114	-7.961	1613.924	328.595	-100.815	1656.107	420.461	-1.001	1649.068	290.816	105.846	1654.222
227.948	-1077.362	187.036	232.129	1141.796	186.733	220.988	809.971	113.003	291.992	-219.637	-17.525	298.930	256.144	-20.993	129.222	-214.409	80.233	179.690	-222.985	281.828	203.478	-201.126	479.659	150.067	246.315	52.112	180.253	247.417	265.217	239.580	218.188	473.309	209.670	-207.651	713.048	219.783	222.170	740.428	346.927	270.933	825.736	273.659	-286.672	837.605	204.570	189.770	941.155	184.328	-177.203	942.335	68.778	21.659	1037.115	72.335	14.936	1137.757	67.556	16.319	1220.170	163.584	16.607	1488.823	233.511	-209.179	1383.837	185.434	-264.544	1102.096	258.365	283.109	1095.613	272.427	221.454	1386.164	177.099	-8.411	1615.087	336.611	-101.523	1652.343	428.294	-1.670	1642.990	298.735	105.103	1652.252
228.098	-1077.377	187.169	232.137	1141.788	186.742	220.981	809.992	112.970	292.203	-219.563	-17.618	298.942	256.086	-20.931	129.467	-214.353	80.242	180.040	-222.983	281.781	203.370	-201.095	479.424	150.246	245.766	52.448	180.282	247.682	265.078	239.096	218.390	473.273	207.938	-207.454	712.828	217.888	222.593	740.030	346.001	271.548	823.178	272.561	-286.173	835.496	201.826	189.774	940.901	181.487	-177.051	941.992	66.780	21.671	1038.095	71.507	14.835	1138.900	67.978	16.138	1221.331	167.762	16.312	1488.653	236.861	-209.287	1382.402	187.029	-263.916	1100.809	260.245	282.230	1094.138	275.979	220.841	1384.526	184.314	-8.921	1616.211	344.899	-102.269	1648.387	436.185	-2.284	1636.632	306.868	104.352	1650.003
228.093	-1077.363	186.970	232.192	1141.794	186.682	220.997	809.979	112.904	292.380	-219.520	-17.960	298.968	255.977	-21.076	129.744	-214.353	79.963	180.289	-223.030	281.449	203.299	-201.093	478.959	150.055	246.483	51.817	180.332	247.958	264.812	238.858	218.647	473.203	205.873	-207.271	712.478	215.011	224.644	739.147	345.124	272.267	820.441	271.381	-285.728	833.060	198.907	190.005	940.481	178.645	-176.819	941.414	64.678	21.572	1039.004	70.702	14.755	1139.849	68.386	15.935	1222.409	172.167	16.038	1488.234	240.274	-209.435	1380.704	188.592	-263.293	1099.238	262.200	281.403	1092.417	279.733	220.178	1382.717	191.774	-9.552	1616.891	353.252	-103.076	1644.106	444.102	-2.864	1629.960	315.098	103.588	1647.324
228.238	-1077.355	187.166	232.294	1141.818	186.758	220.962	809.953	112.821	292.734	-219.455	-17.993	299.043	255.942	-21.053	130.077	-214.387	80.193	180.710	-223.054	281.591	203.361	-201.088	478.760	150.215	246.583	51.945	180.490	248.260	264.723	238.661	219.061	473.339	204.111	-207.065	712.419	212.660	225.169	739.141	344.277	272.958	817.860	270.413	-285.236	830.720	195.170	191.279	939.952	175.917	-176.427	940.948	62.606	21.563	1040.171	70.022	14.721	1141.105	68.933	15.799	1223.670	176.901	15.677	1487.919	243.937	-209.576	1378.996	190.265	-262.751	1097.650	264.233	280.543	1090.825	283.520	219.504	1380.889	199.447	-10.123	1617.479	361.771	-103.859	1639.793	451.970	-3.457	1623.179	323.476	102.869	1644.554
228.197	-1077.358	187.117	232.290	1141.817	186.767	221.001	809.967	112.878	292.940	-219.397	-18.371	299.068	255.808	-21.102	130.223	-214.370	80.081	180.850	-223.048	281.498	203.100	-201.093	478.447	150.242	246.601	51.798	180.662	248.616	264.621	238.457	219.464	473.346	201.810	-206.846	712.118	210.281	225.523	739.010	343.288	273.669	814.983	269.234	-284.793	828.102	191.897	191.369	939.594	173.137	-175.954	940.385	60.463	21.494	1041.034	69.219	14.548	1142.037	69.439	15.598	1224.631	181.640	15.276	1487.205	247.468	-209.805	1376.948	191.832	-262.297	1095.807	266.185	279.708	1088.960	287.384	218.759	1378.730	207.228	-10.803	1617.413	369.392	-104.434	1635.264	459.769	-4.007	1616.208	331.785	102.101	1641.236
228.134	-1077.358	186.998	232.243	1141.801	186.638	221.072	810.023	112.908	293.133	-219.314	-18.868	299.340	255.661	-21.324	130.353	-214.340	79.849	181.010	-223.042	281.294	202.709	-201.041	477.991	150.418	246.622	51.507	180.950	248.986	264.300	238.281	219.833	473.319	199.505	-206.864	711.806	207.901	225.940	738.901	342.314	274.396	811.985	268.119	-284.408	825.222	188.468	191.533	939.174	170.223	-175.413	939.666	58.216	21.434	1041.770	68.474	14.340	1142.821	72.927	15.889	1224.620	186.450	14.771	1486.190	251.053	-210.056	1374.583	193.479	-261.862	1093.669	268.187	278.838	1086.802	291.298	218.017	1376.421	215.108	-11.548	1616.785	377.613	-105.246	1630.405	467.504	-4.544	1609.061	340.093	101.344	1637.605
