NO_OF_FRAMES	5760
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user2 - video - barbell
TIME_STAMP	2018-11-20, 14:31:19	272924.22965242
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
125.705	-1094.380	193.382	124.571	1124.424	190.975	119.851	789.422	129.156	187.496	-247.035	-22.545	177.594	235.811	-21.343	20.500	-234.798	84.515	72.245	-247.345	289.658	112.046	-224.620	486.309	30.930	204.594	56.342	64.216	211.583	270.894	138.241	184.617	474.410	160.975	-230.550	715.260	158.113	198.608	740.822	243.948	276.192	853.456	263.857	-307.094	867.643	156.234	168.632	943.770	162.521	-199.744	948.321	21.025	-9.666	1015.138	-0.790	-15.449	1105.762	-30.092	-15.279	1184.535	-1.200	-7.364	1470.532	101.009	-229.915	1388.060	105.067	-292.303	1103.970	108.380	283.082	1101.357	103.805	207.710	1388.686	-14.826	-19.278	1605.779	140.684	-112.229	1673.906	227.081	-9.550	1682.759	96.096	92.126	1657.477
125.694	-1094.376	193.427	124.591	1124.406	190.940	119.900	789.430	129.097	187.523	-246.969	-22.558	177.595	235.799	-21.408	20.609	-234.800	84.595	72.461	-247.295	289.653	112.408	-224.551	486.277	30.903	204.827	56.399	64.463	211.619	270.845	138.695	184.684	474.349	161.345	-230.435	715.294	158.506	198.639	740.801	244.264	275.593	853.582	264.291	-306.614	867.489	156.471	168.678	943.708	162.906	-199.666	948.238	21.318	-9.706	1014.940	-0.452	-15.477	1105.436	-30.043	-15.335	1184.214	-1.740	-7.536	1470.239	100.791	-230.006	1388.001	105.372	-292.196	1103.818	108.436	282.868	1101.346	103.433	207.671	1388.828	-16.224	-19.336	1604.791	138.558	-112.419	1674.220	224.982	-9.843	1683.943	94.368	91.984	1657.441
125.743	-1094.396	193.460	124.588	1124.408	190.883	119.881	789.472	129.075	187.527	-246.978	-22.561	177.690	235.837	-21.467	20.611	-234.750	84.546	72.736	-247.267	289.599	112.802	-224.463	486.227	30.946	204.862	56.359	64.690	211.698	270.821	139.189	184.808	474.286	161.651	-230.317	715.224	158.772	198.677	740.746	244.539	275.087	853.692	264.677	-306.174	867.285	156.741	168.745	943.685	163.266	-199.565	948.132	21.555	-9.716	1014.753	2.486	-15.150	1104.416	-29.956	-15.410	1183.832	-2.312	-7.628	1469.980	100.561	-230.086	1387.862	105.734	-292.056	1103.664	108.514	282.696	1101.354	103.055	207.623	1388.944	-17.590	-19.365	1603.818	136.524	-112.606	1674.449	223.427	-8.953	1685.366	92.735	91.839	1657.385
125.719	-1094.374	193.372	124.558	1124.428	190.897	119.866	789.504	128.990	187.536	-246.994	-22.564	177.811	235.884	-21.602	20.712	-234.742	84.506	72.994	-247.236	289.548	113.152	-224.385	486.172	31.028	204.923	56.359	64.872	211.766	270.796	139.544	184.945	474.206	161.883	-230.219	715.195	159.019	198.702	740.681	244.824	274.590	853.857	264.952	-305.702	867.078	156.934	168.825	943.646	163.598	-199.455	948.009	21.755	-9.727	1014.528	2.693	-15.203	1104.174	-29.905	-15.440	1183.496	-2.900	-7.785	1469.660	100.380	-230.142	1387.753	105.988	-291.917	1103.460	108.582	282.548	1101.369	102.627	207.622	1389.041	-18.837	-19.364	1602.963	134.616	-112.782	1674.681	221.571	-9.225	1686.226	91.206	91.719	1657.445
125.704	-1094.379	193.377	124.541	1124.442	190.954	119.883	789.461	128.979	187.478	-246.987	-22.536	178.040	235.949	-21.719	20.762	-234.703	84.489	73.271	-247.202	289.483	113.529	-224.330	486.081	31.075	204.899	56.373	65.101	211.803	270.764	139.901	185.036	474.202	162.099	-230.097	715.155	159.165	198.729	740.697	245.170	274.107	854.036	265.113	-305.282	866.761	157.151	168.911	943.621	163.836	-199.368	947.875	21.959	-9.714	1014.286	2.773	-15.250	1103.967	-29.894	-15.516	1183.243	-3.412	-7.898	1469.347	100.149	-230.208	1387.631	106.222	-291.767	1103.238	108.697	282.429	1101.420	102.241	207.608	1389.173	-20.056	-19.326	1602.242	132.927	-112.980	1674.876	219.868	-9.553	1686.932	89.809	91.584	1657.440
125.709	-1094.364	193.352	124.568	1124.435	191.016	119.904	789.452	129.048	187.454	-246.999	-22.550	178.343	235.937	-21.822	20.794	-234.695	84.525	73.517	-247.178	289.448	113.885	-224.314	486.058	31.261	204.824	56.352	65.337	211.798	270.763	140.319	185.123	474.156	162.332	-229.966	715.100	159.336	198.736	740.718	245.545	273.687	854.246	265.242	-304.784	866.458	157.344	169.025	943.626	164.021	-199.272	947.775	22.112	-9.737	1014.126	2.876	-15.303	1103.753	-29.923	-15.590	1183.019	-3.980	-8.037	1469.072	100.030	-230.267	1387.509	106.404	-291.630	1103.048	108.828	282.355	1101.508	101.885	207.569	1389.269	-21.163	-19.327	1601.774	131.389	-113.127	1674.960	218.386	-9.906	1687.535	88.549	91.452	1657.448
125.666	-1094.388	193.406	124.591	1124.411	190.997	119.854	789.467	129.166	187.395	-247.007	-22.572	178.703	235.929	-21.922	20.875	-234.713	84.604	73.741	-247.145	289.454	114.237	-224.270	486.048	31.510	204.578	56.404	65.611	211.742	270.716	140.723	185.170	474.173	162.632	-229.773	715.095	159.452	198.720	740.736	245.939	273.312	854.459	265.320	-304.344	866.152	157.518	169.095	943.548	164.249	-199.168	947.657	22.298	-9.794	1013.945	3.004	-15.340	1103.535	-29.892	-15.709	1182.771	-4.402	-8.148	1468.844	99.893	-230.332	1387.401	106.593	-291.461	1102.872	108.983	282.250	1101.582	101.500	207.541	1389.384	-22.246	-19.293	1601.401	130.019	-113.294	1675.036	217.133	-10.165	1687.977	87.499	91.330	1657.470
125.714	-1094.374	193.393	124.604	1124.420	190.997	119.866	789.443	129.238	187.440	-246.964	-22.595	179.016	235.949	-22.018	20.940	-234.733	84.657	73.974	-247.133	289.398	114.613	-224.208	486.034	31.688	204.365	56.351	65.905	211.650	270.636	140.984	185.177	474.105	162.952	-229.545	715.093	159.578	198.720	740.732	246.292	273.022	854.657	265.403	-303.885	865.832	157.626	169.154	943.475	164.457	-199.074	947.558	22.471	-9.796	1013.719	3.154	-15.407	1103.278	-29.942	-15.777	1182.526	-4.845	-8.258	1468.597	99.763	-230.425	1387.264	106.831	-291.330	1102.718	109.076	282.195	1101.615	101.155	207.529	1389.451	-23.234	-19.243	1601.206	128.739	-113.455	1675.049	215.991	-10.446	1688.224	86.537	91.232	1657.489
125.732	-1094.401	193.445	124.573	1124.409	190.894	119.885	789.435	129.062	187.470	-246.959	-22.530	179.192	235.979	-22.180	20.961	-234.710	84.680	74.257	-247.095	289.393	115.011	-224.094	486.015	31.800	204.206	56.229	66.138	211.567	270.571	141.241	185.191	473.941	163.237	-229.383	715.107	159.653	198.745	740.643	246.659	272.784	854.816	265.379	-303.446	865.465	157.697	169.239	943.412	164.736	-198.942	947.423	22.574	-9.750	1013.511	3.265	-15.420	1103.055	-29.896	-15.853	1182.173	-5.262	-8.363	1468.322	99.661	-230.464	1387.131	107.013	-291.140	1102.521	109.190	282.166	1101.630	100.779	207.551	1389.537	-24.174	-19.222	1601.054	127.629	-113.619	1675.065	214.974	-10.681	1688.354	85.694	91.125	1657.522
125.729	-1094.392	193.436	124.519	1124.421	190.864	119.857	789.479	128.966	187.461	-246.918	-22.497	179.277	236.004	-22.260	21.053	-234.679	84.688	74.538	-247.045	289.352	115.398	-223.998	485.932	31.788	204.099	56.168	66.323	211.467	270.471	141.499	185.193	473.812	163.556	-229.147	715.148	159.787	198.781	740.603	247.001	272.612	854.945	265.279	-303.003	865.054	157.706	169.317	943.393	164.985	-198.762	947.310	22.752	-9.722	1013.250	3.378	-15.461	1102.822	-29.905	-15.857	1181.865	-5.676	-8.450	1467.998	99.513	-230.488	1386.962	107.135	-290.981	1102.268	109.268	282.212	1101.636	100.421	207.575	1389.557	-25.043	-19.160	1600.996	126.618	-113.761	1675.006	214.051	-10.930	1688.338	84.907	91.063	1657.632
