NO_OF_FRAMES	4948
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user2 - video - spine
TIME_STAMP	2018-11-20, 14:29:23	272807.75140384
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
113.892	-1094.627	420.758	190.199	1123.205	415.101	184.191	782.947	334.692	162.936	-232.379	-21.969	164.009	219.341	-21.947	0.851	-236.181	80.874	51.501	-251.513	284.468	58.304	-229.455	481.069	13.880	222.797	49.259	63.617	234.772	261.601	106.366	215.062	483.854	-29.726	-225.141	699.995	-26.224	224.569	722.071	216.508	271.530	493.143	210.866	-273.614	498.426	-61.495	182.262	887.253	-71.372	-184.477	893.070	-115.261	12.792	1019.189	-17.526	1.432	1079.147	47.748	2.421	1117.138	310.348	5.516	1192.047	320.368	-204.701	1042.064	214.231	-263.082	788.494	226.827	270.093	775.551	339.170	191.038	1025.216	406.425	-28.382	1299.955	546.280	-117.652	1193.796	596.891	-9.210	1131.023	508.838	85.670	1236.313
113.281	-1094.767	424.420	189.231	1123.054	419.470	183.465	782.856	338.832	162.928	-232.458	-21.975	164.036	219.348	-21.946	0.723	-236.322	81.074	50.946	-251.812	285.136	58.028	-229.999	481.364	13.890	222.758	49.177	63.437	234.690	261.813	105.714	214.951	484.358	-29.421	-225.442	700.435	-26.079	224.263	722.543	216.052	271.372	497.204	210.423	-273.762	502.336	-61.120	182.184	888.104	-71.020	-184.677	893.833	-115.704	12.739	1020.286	-18.103	1.420	1080.667	45.912	2.537	1119.181	308.771	5.553	1196.246	319.451	-204.835	1046.113	214.322	-264.172	791.691	226.110	269.922	779.583	338.119	191.523	1029.647	404.429	-26.787	1303.064	544.873	-117.432	1199.089	595.684	-8.947	1136.745	507.019	85.886	1241.642
112.806	-1094.870	427.945	188.321	1122.986	423.676	182.875	782.784	342.875	162.896	-232.515	-21.912	164.048	219.368	-21.917	0.646	-236.476	81.388	50.316	-252.055	286.085	57.551	-230.530	481.729	13.851	222.701	49.142	63.208	234.595	262.239	104.977	214.702	485.240	-29.430	-225.776	700.983	-25.942	224.129	723.234	215.855	271.179	501.109	210.090	-273.896	506.121	-60.774	182.096	888.968	-70.831	-184.790	894.708	-116.112	12.648	1021.445	-18.177	1.568	1081.369	45.336	2.462	1122.057	307.187	5.602	1200.455	317.430	-203.499	1050.296	213.674	-264.091	795.514	225.409	269.779	783.556	337.189	191.925	1034.135	402.300	-26.692	1307.898	542.568	-117.677	1205.706	594.456	-8.662	1142.560	505.172	86.074	1247.017
112.847	-1094.999	431.151	187.806	1122.861	427.840	182.371	782.700	346.873	162.900	-232.566	-21.890	164.048	219.352	-21.934	0.704	-236.673	81.933	49.700	-252.369	287.287	56.759	-231.093	482.279	13.916	222.224	51.285	62.935	234.663	262.382	104.044	214.444	486.301	-29.722	-226.103	701.712	-25.957	224.060	723.958	215.708	270.924	504.910	211.480	-274.817	510.483	-60.454	182.003	889.882	-71.741	-183.127	894.796	-115.830	12.621	1023.030	-17.715	0.164	1082.318	45.645	2.571	1124.306	305.650	5.610	1204.570	316.505	-203.599	1054.299	212.186	-263.015	799.803	224.882	269.614	787.374	336.315	192.358	1038.489	401.622	-28.001	1314.080	539.809	-116.537	1211.830	596.086	-6.973	1147.569	503.295	86.261	1252.398
114.044	-1095.053	433.056	187.678	1122.636	431.734	182.115	781.580	350.967	164.792	-234.352	-23.210	165.951	217.003	-24.207	1.923	-237.075	80.898	49.576	-252.980	287.305	56.365	-231.519	482.013	13.557	221.576	51.003	62.539	234.125	262.156	102.482	214.859	488.022	-29.224	-226.314	701.036	-26.279	223.717	724.681	215.693	271.438	508.067	211.913	-274.571	512.612	-60.149	182.049	890.974	-71.425	-183.533	895.473	-116.276	12.618	1024.414	-18.520	0.157	1084.337	46.188	1.346	1125.316	305.596	4.402	1207.431	316.585	-204.837	1057.391	213.243	-264.212	801.997	224.332	269.987	791.306	335.492	193.492	1042.744	399.965	-27.603	1318.073	538.768	-116.567	1216.994	595.254	-5.445	1152.508	501.152	86.409	1257.647
113.646	-1094.802	436.932	187.896	1122.632	435.259	182.320	782.517	354.337	163.198	-232.913	-21.544	162.686	220.339	-22.400	-2.579	-235.362	84.356	46.329	-251.548	289.391	53.531	-231.123	483.737	13.362	222.554	51.554	61.209	234.807	264.151	101.682	214.096	488.212	-32.203	-225.584	704.096	-26.506	224.096	725.826	215.521	270.572	512.094	209.732	-274.150	516.911	-59.981	181.833	892.354	-72.576	-182.327	897.380	-117.043	13.206	1026.332	-19.819	0.820	1086.828	43.465	2.523	1129.356	302.614	5.692	1212.585	314.399	-202.474	1063.275	211.416	-262.898	806.961	224.126	269.400	794.641	334.781	192.940	1046.911	396.982	-27.795	1323.346	536.501	-115.877	1222.773	593.651	-6.334	1159.284	499.336	86.597	1263.027
114.365	-1094.980	439.701	187.971	1122.525	438.763	182.509	782.499	357.893	163.194	-232.993	-21.489	162.582	220.480	-22.338	-3.322	-235.533	84.042	45.137	-251.562	289.632	51.555	-231.296	484.309	13.222	222.838	51.860	60.087	234.994	265.223	100.217	214.084	489.182	-33.247	-225.921	705.163	-27.081	224.259	726.993	215.436	270.374	515.565	209.761	-274.259	520.439	-59.775	181.744	893.835	-72.912	-182.173	898.812	-117.513	13.265	1027.894	-21.468	1.558	1089.533	42.299	2.540	1132.002	300.969	5.717	1216.627	313.348	-202.432	1067.017	210.834	-262.848	810.364	223.988	269.070	798.016	334.019	192.958	1050.772	394.421	-27.782	1327.954	534.767	-115.586	1228.261	592.294	-6.188	1165.327	497.330	86.805	1268.274
115.233	-1095.081	442.461	188.075	1122.421	442.018	182.621	782.453	361.315	163.224	-233.024	-21.442	162.435	220.581	-22.275	-3.942	-235.586	83.699	43.936	-251.546	289.683	49.649	-231.397	484.813	12.908	222.969	52.080	58.721	235.209	265.439	98.545	214.073	489.771	-34.088	-226.243	706.185	-27.628	224.371	728.191	215.614	270.188	518.982	209.968	-274.387	523.750	-59.623	181.719	895.369	-73.104	-182.069	900.229	-117.939	13.269	1029.453	-22.294	1.558	1091.552	41.092	2.568	1134.631	299.381	5.754	1220.611	312.184	-202.342	1070.589	210.463	-262.756	813.712	223.933	268.710	801.381	333.310	192.819	1054.730	391.849	-27.792	1332.424	533.015	-115.391	1233.684	590.945	-6.031	1171.322	495.192	86.935	1273.437
116.178	-1095.181	445.100	188.335	1122.338	445.434	182.897	782.356	364.629	163.208	-233.053	-21.376	162.307	220.638	-22.225	-4.385	-235.593	83.366	41.079	-252.195	288.757	47.742	-231.454	485.215	12.610	222.894	51.898	57.189	235.376	264.907	96.689	214.235	489.539	-34.791	-226.531	707.083	-28.092	224.475	729.308	215.903	269.994	522.417	210.405	-274.415	527.119	-59.467	181.716	896.893	-73.164	-181.980	901.714	-118.354	13.301	1030.868	-23.146	1.605	1093.516	39.918	2.553	1137.143	297.787	5.751	1224.526	311.227	-202.363	1074.181	210.278	-262.708	817.015	223.870	268.344	804.774	332.549	192.678	1058.558	389.256	-27.824	1336.757	531.294	-115.227	1239.061	589.618	-5.883	1177.206	493.085	87.055	1278.496
117.041	-1095.280	447.792	188.418	1122.200	448.839	183.208	782.361	368.088	163.191	-233.097	-21.369	162.216	220.671	-22.182	-4.912	-235.599	83.033	39.816	-252.256	288.598	46.053	-231.453	485.607	12.380	222.859	51.611	55.846	235.381	263.921	95.068	214.396	488.491	-35.255	-226.749	707.937	-28.189	224.609	730.208	216.093	269.737	525.871	210.770	-274.529	530.414	-59.363	181.769	898.256	-73.045	-181.850	903.015	-118.735	13.374	1032.148	-24.000	1.645	1095.339	38.680	2.625	1139.535	296.047	5.787	1228.453	310.342	-202.395	1077.837	210.149	-262.609	820.312	223.854	267.898	808.261	331.758	192.547	1062.628	386.614	-27.820	1341.032	529.510	-115.114	1244.255	588.235	-5.772	1182.995	490.938	87.121	1283.497
