NO_OF_FRAMES	3734
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user4 - control - combined
TIME_STAMP	2018-11-28, 10:42:14	314102.62394749
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
227.331	-1009.565	188.249	255.533	1207.094	182.653	182.837	875.586	214.472	276.142	-41.004	-21.360	270.923	262.097	-22.338	115.409	-70.133	-3.822	124.770	-85.789	243.665	148.103	-77.935	409.953	113.650	291.374	-6.668	131.864	299.148	216.069	159.188	286.304	419.942	185.836	-93.075	600.372	184.680	314.776	614.138	324.209	361.673	813.199	349.773	-118.598	815.328	131.970	308.398	834.258	138.097	-94.435	844.038	57.658	119.983	950.508	92.954	122.517	1014.967	107.553	126.890	1104.646	213.239	119.279	1412.507	278.753	-79.527	1329.071	287.144	-119.242	1020.740	274.250	370.887	1036.783	290.493	337.642	1324.167	239.002	134.022	1600.747	367.673	0.230	1548.580	472.269	74.500	1502.108	388.052	203.083	1564.568
227.368	-1009.592	188.232	255.539	1207.110	182.662	182.847	875.583	214.495	276.203	-41.002	-21.268	270.916	262.073	-22.334	115.390	-70.134	-3.842	124.226	-85.749	243.598	147.256	-77.892	409.946	113.672	291.370	-6.730	131.538	299.102	216.029	158.281	286.257	419.900	184.057	-93.341	600.455	182.972	314.766	614.054	322.860	361.790	811.652	347.808	-118.444	813.336	129.782	308.655	834.213	135.764	-94.533	844.103	55.981	120.121	951.080	91.680	122.625	1015.739	107.250	126.980	1105.469	216.967	119.194	1412.205	281.200	-79.452	1327.750	287.289	-118.893	1019.347	274.494	370.849	1035.586	292.907	337.549	1322.824	249.030	134.133	1601.490	375.384	0.260	1544.775	478.187	74.249	1494.154	396.641	203.035	1559.509
227.360	-1009.636	188.264	255.543	1207.126	182.662	182.844	875.589	214.528	276.185	-40.978	-21.306	270.962	262.073	-22.316	115.404	-70.099	-3.855	123.773	-85.659	243.551	146.374	-77.845	409.875	113.675	291.325	-6.714	131.171	299.050	215.977	157.384	286.209	419.794	182.164	-93.630	600.604	181.138	314.852	613.993	321.469	361.986	809.985	345.774	-118.361	811.258	127.389	308.994	834.116	133.335	-94.670	844.105	54.082	120.281	951.815	90.347	122.758	1016.599	106.993	127.125	1106.342	220.896	119.108	1411.797	283.845	-79.376	1326.362	287.349	-118.562	1017.795	274.796	370.799	1034.249	295.463	337.394	1321.291	259.246	134.032	1602.359	383.469	0.256	1540.528	484.256	73.949	1485.607	405.681	203.006	1554.012
227.349	-1009.591	188.282	255.538	1207.107	182.620	182.856	875.578	214.537	276.260	-40.977	-21.232	270.989	262.045	-22.309	115.363	-70.090	-3.839	123.241	-85.589	243.485	145.404	-77.765	409.699	113.713	291.282	-6.754	130.833	298.973	215.862	156.528	286.206	419.780	180.313	-93.900	600.646	179.291	314.956	614.005	320.022	362.187	808.253	343.648	-118.190	809.089	124.906	309.325	834.138	130.638	-94.833	844.125	52.088	120.483	952.499	88.836	122.897	1017.507	106.680	127.270	1107.171	225.146	119.031	1411.300	286.659	-79.341	1324.761	287.393	-118.319	1016.209	275.052	370.794	1032.850	298.133	337.235	1319.635	270.831	134.194	1602.219	391.879	0.246	1535.755	490.406	73.655	1476.504	415.098	202.952	1547.963
227.333	-1009.568	188.297	255.545	1207.119	182.593	182.868	875.583	214.516	276.236	-40.974	-21.251	271.000	262.061	-22.326	115.368	-70.043	-3.908	122.821	-85.524	243.426	144.542	-77.680	409.600	113.747	291.271	-6.788	130.370	298.918	215.828	155.539	286.161	419.720	178.373	-94.209	600.715	177.356	315.160	614.053	318.491	362.400	806.322	341.447	-118.114	806.829	122.222	309.742	834.189	127.817	-95.030	844.056	49.928	120.649	953.258	87.305	123.056	1018.376	106.348	127.459	1107.991	229.624	118.949	1410.634	289.621	-79.237	1323.048	287.457	-118.139	1014.465	275.411	370.776	1031.228	300.970	337.060	1317.748	283.049	134.385	1601.554	400.104	0.123	1530.418	496.711	73.376	1466.805	424.858	203.347	1540.967
227.331	-1009.591	188.292	255.533	1207.100	182.603	182.850	875.592	214.508	276.278	-41.006	-21.190	271.019	262.110	-22.297	115.327	-70.033	-3.964	122.314	-85.465	243.382	143.557	-77.641	409.476	113.703	291.253	-6.832	129.896	298.903	215.839	154.537	286.180	419.641	176.343	-94.498	600.697	175.352	315.332	614.151	316.944	362.628	804.222	339.168	-118.009	804.382	119.418	310.059	834.187	124.768	-95.263	844.051	47.685	120.884	953.988	85.634	123.257	1019.247	105.961	127.641	1108.891	234.380	118.879	1409.785	292.672	-79.181	1321.135	287.482	-117.996	1012.605	275.824	370.762	1029.534	304.011	336.871	1315.666	295.910	134.562	1600.198	409.693	0.296	1524.416	503.035	73.118	1456.483	434.894	203.325	1533.679
227.359	-1009.588	188.267	255.533	1207.124	182.631	182.868	875.584	214.497	276.290	-41.000	-21.229	271.016	262.069	-22.273	115.314	-70.015	-3.988	121.878	-85.407	243.287	142.597	-77.580	409.402	113.681	291.252	-6.855	129.453	298.865	215.848	153.548	286.166	419.604	174.325	-94.858	600.622	173.383	315.413	614.161	315.304	362.891	801.985	336.689	-118.052	801.698	116.429	310.312	834.193	121.600	-95.495	844.044	45.306	121.049	954.596	83.821	123.443	1020.149	105.565	127.846	1109.697	238.637	118.595	1408.492	296.006	-79.087	1319.018	287.561	-117.904	1010.556	276.329	370.720	1027.707	307.176	336.650	1313.462	309.331	134.608	1598.315	419.074	0.252	1517.956	509.456	72.893	1445.662	445.184	203.265	1525.653
227.345	-1009.594	188.211	255.526	1207.094	182.648	182.825	875.606	214.534	276.294	-41.017	-21.233	271.058	262.041	-22.282	115.308	-70.014	-4.057	121.351	-85.398	243.156	141.630	-77.539	409.318	113.707	291.261	-6.824	128.962	298.841	215.827	152.597	286.162	419.617	172.123	-95.276	600.655	171.215	315.427	614.215	313.624	363.204	799.616	334.340	-118.102	799.024	113.230	310.540	834.049	118.313	-95.757	844.074	42.790	121.251	955.194	81.959	123.508	1021.044	105.154	128.002	1110.639	244.050	118.473	1407.239	299.384	-78.985	1316.689	287.590	-117.885	1008.344	276.895	370.705	1025.649	310.556	336.393	1310.985	323.171	134.776	1595.467	428.687	0.170	1510.923	515.963	72.634	1434.206	455.640	203.351	1517.029
227.360	-1009.591	188.215	255.544	1207.099	182.656	182.874	875.586	214.496	276.276	-41.039	-21.205	271.075	262.040	-22.234	115.271	-70.057	-4.085	120.866	-85.362	243.153	140.580	-77.561	409.226	113.718	291.227	-6.876	128.608	298.801	215.781	151.521	286.122	419.609	170.705	-96.174	600.362	168.919	315.474	614.221	311.953	363.569	797.039	331.887	-118.191	796.111	109.909	310.769	833.979	114.813	-95.980	844.150	41.493	121.183	954.840	79.904	123.700	1022.119	104.798	128.141	1111.498	249.880	118.399	1405.707	303.021	-78.860	1314.116	287.632	-117.853	1005.985	277.525	370.674	1023.367	314.102	336.191	1308.283	337.362	134.972	1591.865	438.608	0.128	1503.278	522.464	72.475	1422.296	467.540	203.234	1508.819
227.347	-1009.593	188.311	255.511	1207.117	182.653	182.823	875.613	214.548	276.310	-41.088	-21.139	271.099	262.068	-22.230	115.245	-70.065	-4.083	120.271	-85.342	243.036	139.636	-77.575	409.207	113.815	291.234	-6.864	128.331	298.725	215.761	150.571	286.096	419.587	168.335	-96.596	600.458	166.464	315.609	614.163	310.199	363.969	794.222	326.455	-117.390	791.110	106.304	311.102	833.817	111.141	-96.222	844.256	38.630	121.267	955.679	77.931	123.720	1023.086	104.337	128.199	1112.378	256.059	118.309	1403.824	306.800	-78.739	1311.278	287.751	-117.845	1003.390	278.201	370.651	1020.939	317.959	335.966	1305.317	351.993	135.137	1587.441	449.409	0.252	1494.846	528.908	72.364	1409.783	477.844	202.241	1497.643
