NO_OF_FRAMES	4414
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user4 - instruction - barbell
TIME_STAMP	2018-11-28, 10:49:05	314513.60338974
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
201.880	-994.449	191.070	267.419	1222.983	186.810	212.139	894.008	224.451	245.573	-51.499	-21.192	248.286	285.158	-22.019	85.775	-80.282	-2.249	105.851	-89.089	244.622	138.504	-77.530	410.306	91.281	319.650	-6.576	116.549	321.937	216.129	156.353	303.846	417.887	182.928	-87.123	600.027	191.812	326.897	611.635	266.100	379.069	820.929	248.534	-154.385	823.391	143.780	319.956	830.242	136.714	-82.839	839.828	55.312	133.855	928.775	78.962	134.900	992.205	69.173	139.456	1083.442	118.040	135.167	1401.938	176.909	-67.436	1334.649	191.186	-121.170	1028.414	197.363	381.457	1039.641	194.076	348.414	1326.844	71.617	146.617	1537.681	208.904	16.616	1573.266	319.443	94.479	1592.994	211.879	221.510	1590.587
201.872	-994.421	191.059	267.415	1222.980	186.783	0.000	0.000	0.000	245.631	-51.521	-21.137	248.276	285.156	-22.020	85.772	-80.277	-2.210	105.824	-89.117	244.633	138.506	-77.593	410.310	91.266	319.645	-6.573	116.533	321.919	216.141	156.387	303.791	417.899	182.965	-87.199	600.034	191.820	326.823	611.581	266.486	379.682	821.080	249.025	-154.722	823.620	143.819	319.891	830.235	136.835	-82.921	839.846	55.313	133.762	928.765	79.010	134.790	992.201	69.238	139.281	1083.400	118.058	135.069	1401.929	177.081	-67.467	1334.709	191.493	-121.425	1028.558	197.354	381.729	1039.707	193.906	348.371	1326.856	71.759	146.435	1537.740	209.254	16.718	1573.283	319.709	94.827	1592.899	211.916	221.631	1590.514
201.878	-994.442	191.058	267.384	1222.983	186.771	0.000	0.000	0.000	245.650	-51.525	-21.129	248.267	285.126	-22.014	85.760	-80.305	-2.219	105.855	-89.138	244.638	138.548	-77.641	410.312	91.312	319.609	-6.568	116.556	321.853	216.128	156.402	303.710	417.915	183.013	-87.298	599.998	191.878	326.734	611.583	266.932	380.293	821.289	249.519	-155.022	823.876	143.867	319.799	830.220	136.915	-83.035	839.844	55.440	133.652	928.688	79.036	134.684	992.166	69.263	139.153	1083.408	118.112	134.982	1401.955	177.239	-67.511	1334.755	191.737	-121.662	1028.674	197.379	382.034	1039.772	193.714	348.329	1326.833	71.882	146.265	1537.843	209.677	16.822	1573.333	319.977	95.087	1592.803	211.968	221.735	1590.447
201.869	-994.446	191.051	267.431	1222.963	186.778	0.000	0.000	0.000	245.605	-51.522	-21.168	248.318	285.107	-21.999	85.765	-80.270	-2.268	105.829	-89.172	244.624	138.552	-77.683	410.290	91.295	319.587	-6.588	116.562	321.811	216.142	156.437	303.640	417.881	183.094	-87.362	600.022	192.908	324.153	611.098	267.436	380.910	821.469	249.983	-155.282	824.087	143.931	319.721	830.238	136.999	-83.088	839.848	55.507	133.540	928.676	79.110	134.602	992.161	69.303	139.036	1083.371	118.131	134.916	1401.946	177.378	-67.533	1334.845	192.035	-121.876	1028.838	197.412	382.351	1039.831	193.517	348.292	1326.850	72.045	146.134	1537.992	210.054	16.910	1573.346	320.247	95.368	1592.657	212.074	221.833	1590.401
201.932	-994.432	191.061	267.374	1222.976	186.783	0.000	0.000	0.000	245.618	-51.509	-21.155	248.333	285.118	-22.114	85.794	-80.290	-2.246	105.874	-89.214	244.638	138.581	-77.742	410.284	91.289	319.605	-6.537	116.616	321.788	216.209	156.478	303.556	417.857	183.155	-87.434	600.013	193.011	323.911	611.121	267.987	381.511	821.687	250.519	-155.496	824.287	143.994	319.646	830.217	137.126	-83.183	839.828	55.567	133.430	928.648	79.170	134.470	992.125	69.384	138.923	1083.325	118.199	134.843	1401.960	177.572	-67.580	1334.929	192.285	-122.038	1028.950	197.499	382.615	1039.892	193.356	348.253	1326.807	72.225	145.983	1538.146	210.445	16.959	1573.359	320.602	95.574	1592.468	212.211	221.907	1590.359
201.867	-994.437	191.020	267.395	1222.992	186.765	0.000	0.000	0.000	245.617	-51.538	-21.161	248.324	285.134	-22.044	85.736	-80.298	-2.227	105.888	-89.256	244.620	138.624	-77.776	410.275	91.304	319.577	-6.518	116.608	321.719	216.151	156.520	303.501	417.840	183.209	-87.503	599.984	193.209	323.665	611.034	268.568	382.135	821.926	251.014	-155.700	824.549	144.093	319.543	830.211	137.197	-83.275	839.825	55.649	133.328	928.595	79.239	134.390	992.127	69.414	138.793	1083.328	118.220	134.758	1401.956	177.749	-67.619	1334.985	192.578	-122.178	1029.016	197.624	382.896	1039.987	193.224	348.226	1326.797	72.430	145.835	1538.316	210.829	17.005	1573.370	320.922	95.756	1592.253	212.387	221.955	1590.303
201.874	-994.420	191.069	267.373	1222.978	186.752	0.000	0.000	0.000	245.604	-51.541	-21.173	248.333	285.118	-22.034	85.789	-80.276	-2.258	105.899	-89.278	244.620	138.587	-77.822	410.267	91.306	319.564	-6.534	116.637	321.705	216.211	156.543	303.407	417.815	183.315	-87.550	599.959	193.311	323.585	611.009	269.177	382.713	822.094	251.505	-155.821	824.773	144.170	319.462	830.197	137.248	-83.390	839.810	55.724	133.216	928.577	79.265	134.298	992.117	69.449	138.719	1083.324	118.274	134.707	1401.960	177.948	-67.642	1335.053	192.905	-122.304	1029.150	197.753	383.165	1040.055	193.090	348.200	1326.769	72.611	145.738	1538.562	211.237	17.035	1573.341	321.293	95.893	1592.029	212.606	221.991	1590.258
201.893	-994.423	191.051	267.402	1222.978	186.773	0.000	0.000	0.000	245.586	-51.525	-21.185	248.332	285.070	-22.102	85.778	-80.261	-2.275	105.877	-89.293	244.598	138.628	-77.869	410.286	91.317	319.556	-6.533	116.647	321.682	216.227	156.622	303.339	417.811	183.397	-87.587	599.955	193.385	323.633	610.990	269.757	383.297	822.299	252.029	-155.907	824.991	144.285	319.376	830.179	137.352	-83.492	839.783	55.789	133.131	928.538	79.341	134.166	992.044	69.473	138.599	1083.288	118.317	134.626	1401.958	178.122	-67.684	1335.145	193.274	-122.422	1029.305	197.907	383.451	1040.162	192.982	348.153	1326.757	72.839	145.607	1538.816	211.669	17.041	1573.307	321.696	96.009	1591.834	212.873	222.010	1590.236
201.877	-994.436	191.026	267.405	1222.996	186.757	0.000	0.000	0.000	245.602	-51.526	-21.180	248.357	285.074	-22.075	85.785	-80.289	-2.258	105.896	-89.332	244.583	138.670	-77.917	410.275	91.302	319.531	-6.514	116.735	321.649	216.230	156.669	303.274	417.796	183.518	-87.608	599.933	193.472	323.663	610.956	270.381	383.871	822.511	252.506	-155.983	825.149	144.402	319.276	830.178	137.427	-83.615	839.773	55.907	132.989	928.441	79.403	134.055	992.049	69.524	138.500	1083.269	118.376	134.544	1401.985	178.301	-67.726	1335.201	193.554	-122.477	1029.419	198.121	383.725	1040.232	192.882	348.105	1326.755	73.108	145.529	1539.084	212.083	17.027	1573.261	322.082	96.109	1591.544	213.188	221.987	1590.202
201.882	-994.435	191.020	267.419	1222.983	186.791	0.000	0.000	0.000	245.626	-51.538	-21.162	248.338	285.095	-22.061	85.776	-80.292	-2.221	105.928	-89.384	244.648	138.698	-77.972	410.235	91.322	319.532	-6.512	116.785	321.614	216.204	156.737	303.206	417.803	183.603	-87.643	599.950	193.524	323.662	610.959	270.947	384.430	822.682	252.992	-156.021	825.355	144.518	319.204	830.159	137.510	-83.740	839.786	55.947	132.883	928.454	79.467	133.961	992.059	69.576	138.377	1083.227	118.448	134.426	1401.983	178.514	-67.727	1335.257	193.841	-122.572	1029.517	198.352	383.956	1040.361	192.837	348.054	1326.777	73.374	145.428	1539.375	212.548	17.006	1573.218	322.539	96.144	1591.213	213.525	221.965	1590.169
