NO_OF_FRAMES	3976
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user4 - instruction - combined
TIME_STAMP	2018-11-28, 10:53:40	314789.05299029
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
236.173	-975.392	190.862	237.737	1242.898	186.127	0.000	0.000	0.000	273.603	-21.358	-21.032	265.307	292.762	-21.292	114.768	-65.316	-6.312	121.222	-85.513	241.352	140.868	-78.314	408.493	111.342	327.219	-3.109	124.460	326.650	220.516	147.329	305.469	423.030	178.026	-89.961	597.471	167.691	323.661	615.010	250.500	358.217	835.794	248.253	-221.943	826.173	107.622	313.602	837.272	130.426	-93.792	840.006	43.174	114.707	950.385	74.511	114.238	1012.328	81.294	109.794	1106.839	223.476	88.294	1409.070	260.354	-101.696	1323.498	206.588	-184.910	1034.495	184.001	360.615	1055.675	248.937	306.286	1332.151	337.216	115.140	1580.922	431.778	-17.158	1480.253	494.925	59.615	1384.164	445.389	187.278	1476.949
236.177	-975.360	190.835	237.760	1242.901	186.123	0.000	0.000	0.000	273.722	-21.313	-21.104	265.280	292.648	-21.350	114.852	-64.986	-6.242	121.444	-85.130	241.310	140.908	-77.924	408.428	111.389	327.392	-3.214	124.402	326.776	220.373	147.228	305.706	422.912	177.945	-89.716	597.337	167.041	324.183	616.310	252.727	356.190	836.058	248.213	-221.780	825.985	108.057	313.893	837.215	130.431	-93.416	839.888	43.532	115.205	950.420	74.887	114.679	1012.394	81.767	110.198	1106.782	223.901	88.474	1408.955	260.724	-101.459	1323.367	206.793	-184.627	1034.398	184.918	360.413	1055.448	249.479	306.505	1332.093	337.701	115.384	1580.864	432.200	-16.939	1480.232	495.312	59.807	1384.112	445.843	187.489	1476.916
236.181	-975.384	190.832	237.767	1242.898	186.103	0.000	0.000	0.000	273.677	-21.251	-21.143	265.299	292.546	-21.341	115.029	-64.560	-6.144	121.814	-84.614	241.187	140.989	-77.425	408.331	111.340	327.491	-3.358	124.262	326.898	220.231	147.053	305.942	422.793	177.747	-89.334	597.147	167.215	324.482	616.135	256.316	354.488	836.610	248.207	-221.501	825.765	108.457	314.229	837.106	130.382	-92.995	839.736	43.763	115.722	950.451	75.344	115.120	1012.352	82.245	110.720	1106.696	224.364	88.799	1408.879	261.021	-101.115	1323.223	206.976	-184.171	1034.161	185.917	360.321	1055.188	250.104	306.830	1331.983	338.206	115.705	1580.822	432.608	-16.702	1480.135	495.737	60.071	1383.964	446.356	187.766	1476.824
236.082	-975.331	190.843	237.780	1242.881	186.119	0.000	0.000	0.000	273.637	-21.045	-21.232	265.310	292.494	-21.316	115.220	-64.130	-5.982	122.239	-84.126	241.080	141.256	-76.865	408.227	111.279	327.550	-3.578	124.047	326.974	219.988	146.779	306.116	422.605	177.717	-88.894	596.995	168.027	326.529	617.071	258.607	352.764	836.864	248.217	-221.036	825.515	108.800	314.662	837.035	130.340	-92.525	839.596	43.983	116.287	950.519	75.682	115.633	1012.321	82.692	111.250	1106.573	224.839	89.262	1408.726	261.392	-100.677	1323.007	207.172	-183.637	1033.935	186.946	360.347	1054.874	250.737	307.218	1331.891	338.739	116.097	1580.722	433.042	-16.347	1480.009	496.174	60.343	1383.831	446.867	188.085	1476.655
236.067	-975.340	190.853	237.780	1242.917	186.102	0.000	0.000	0.000	273.591	-20.912	-21.269	265.272	292.445	-21.321	115.335	-63.751	-5.837	122.677	-83.635	241.010	141.631	-76.336	408.137	111.171	327.582	-3.789	123.747	327.076	219.778	146.408	306.345	422.373	177.719	-88.354	596.821	168.144	326.835	616.803	259.639	350.925	836.772	248.248	-220.463	825.273	109.111	315.194	836.869	130.278	-92.071	839.454	44.256	116.981	950.533	76.014	116.293	1012.215	83.165	111.837	1106.429	225.290	89.789	1408.603	261.655	-100.231	1322.792	207.399	-182.992	1033.679	187.983	360.544	1054.610	251.472	307.693	1331.766	339.291	116.563	1580.627	433.410	-15.964	1479.854	496.604	60.656	1383.645	447.440	188.469	1476.485
236.086	-975.352	190.893	237.772	1242.906	186.077	0.000	0.000	0.000	273.611	-20.802	-21.256	265.218	292.404	-21.319	115.410	-63.429	-5.734	123.150	-83.117	241.041	141.933	-75.750	408.061	111.019	327.571	-3.983	123.321	327.153	219.611	145.988	306.537	422.218	177.886	-87.787	596.650	168.083	326.793	616.263	263.240	349.703	837.300	248.232	-219.874	825.040	109.416	315.780	836.729	130.247	-91.539	839.357	44.431	117.575	950.524	76.331	116.925	1012.235	83.563	112.535	1106.369	225.805	90.365	1408.416	261.897	-99.690	1322.551	207.545	-182.242	1033.460	189.080	360.876	1054.358	252.244	308.252	1331.650	339.879	117.130	1580.492	433.835	-15.514	1479.686	497.016	61.005	1383.439	447.999	188.871	1476.253
236.092	-975.362	190.891	237.758	1242.908	186.120	0.000	0.000	0.000	273.634	-20.764	-21.227	265.166	292.358	-21.319	115.475	-63.184	-5.603	123.484	-82.704	240.986	142.366	-75.245	408.004	110.850	327.529	-4.180	122.783	327.215	219.410	145.421	306.745	422.016	178.088	-87.236	596.621	167.903	326.830	615.733	265.530	348.397	837.507	248.268	-219.090	824.802	109.669	316.347	836.694	130.294	-91.007	839.322	44.699	118.270	950.506	76.625	117.618	1012.118	84.014	113.311	1106.232	226.289	91.041	1408.246	262.186	-99.039	1322.335	207.688	-181.442	1033.222	190.249	361.332	1054.031	253.071	308.878	1331.464	340.467	117.752	1580.342	434.143	-15.045	1479.513	497.402	61.389	1383.184	448.598	189.328	1476.019
236.169	-975.370	190.892	237.747	1242.898	186.160	0.000	0.000	0.000	273.614	-20.695	-21.294	265.125	292.377	-21.270	115.528	-62.967	-5.486	123.704	-82.362	241.021	142.697	-74.797	407.954	110.585	327.364	-4.424	122.172	327.311	219.175	144.785	306.996	421.827	178.430	-86.604	596.635	167.679	327.018	615.362	267.854	347.269	837.698	248.262	-218.241	824.559	109.832	316.949	836.588	130.371	-90.447	839.327	44.947	118.982	950.480	76.895	118.380	1012.044	84.396	114.151	1106.234	226.824	91.822	1408.066	262.485	-98.300	1322.082	207.769	-180.518	1032.985	191.440	361.907	1053.712	253.952	309.595	1331.242	341.031	118.430	1580.133	434.524	-14.536	1479.359	497.794	61.857	1382.975	449.209	189.857	1475.805
236.208	-975.412	190.855	237.722	1242.903	186.167	0.000	0.000	0.000	273.651	-20.649	-21.258	265.046	292.381	-21.263	115.525	-62.772	-5.426	123.909	-81.992	241.025	142.968	-74.323	407.937	110.346	327.182	-4.692	121.498	327.374	218.945	144.139	307.230	421.624	178.800	-85.964	596.625	167.331	327.264	615.015	270.146	346.325	837.900	248.286	-217.271	824.320	109.893	317.492	836.399	130.541	-89.773	839.392	45.220	119.769	950.408	77.171	119.177	1011.956	84.804	115.016	1106.118	227.262	92.649	1407.924	262.701	-97.477	1321.902	207.873	-179.521	1032.784	192.668	362.619	1053.369	254.814	310.400	1331.060	341.605	119.172	1579.946	434.865	-13.903	1479.171	498.199	62.343	1382.699	449.833	190.436	1475.565
236.171	-975.380	190.842	237.740	1242.883	186.114	0.000	0.000	0.000	273.639	-20.581	-21.264	264.968	292.432	-21.318	115.587	-62.575	-5.370	124.019	-81.578	241.033	143.179	-73.836	407.907	110.103	326.979	-4.923	120.956	327.406	218.672	143.484	307.434	421.330	179.151	-85.264	596.727	166.847	327.652	614.715	272.377	345.580	838.055	248.217	-216.172	824.135	109.874	318.046	836.243	130.740	-89.106	839.475	45.402	120.591	950.445	77.427	120.023	1011.851	85.143	115.982	1106.004	227.777	93.650	1407.708	262.887	-96.582	1321.739	207.936	-178.399	1032.599	193.957	363.478	1053.023	255.701	311.292	1330.827	342.163	120.016	1579.761	435.183	-13.228	1478.958	498.634	62.916	1382.469	450.463	191.062	1475.320
