NO_OF_FRAMES	4008
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user4 - instruction - spine
TIME_STAMP	2018-11-28, 10:45:01	314269.74687931
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
163.705	-1011.628	189.548	267.910	1205.785	186.753	229.308	875.636	240.821	275.107	-41.410	-23.218	273.008	260.607	-22.497	116.702	-70.982	-2.247	142.320	-89.896	246.368	180.074	-81.948	411.110	115.251	288.436	-5.793	151.771	297.253	217.020	200.914	282.097	416.927	241.452	-95.488	596.605	250.564	305.344	607.962	375.613	331.598	822.689	363.526	-153.945	824.994	212.360	301.969	830.491	213.638	-99.871	839.874	129.134	116.175	933.024	157.034	113.910	990.168	141.278	120.071	1082.165	189.171	106.115	1398.432	253.937	-95.670	1327.384	278.227	-144.568	1021.049	292.117	356.193	1035.678	280.290	324.517	1325.433	140.485	106.057	1539.740	276.354	-27.233	1560.027	387.233	48.770	1586.699	280.698	175.154	1599.751
163.716	-1011.595	189.528	267.949	1205.757	186.802	229.315	875.626	240.848	275.101	-41.407	-23.229	272.994	260.626	-22.495	116.711	-70.984	-2.230	142.300	-89.883	246.349	180.029	-81.907	411.092	115.233	288.472	-5.737	151.736	297.279	216.998	200.930	282.113	416.946	241.858	-97.928	596.434	250.587	305.309	607.974	376.328	331.603	822.887	364.110	-153.352	825.194	212.375	301.976	830.490	213.592	-99.875	839.855	129.111	116.184	933.005	153.191	117.710	993.536	141.225	120.137	1082.159	189.047	106.166	1398.400	253.658	-95.665	1327.401	278.200	-144.379	1021.071	292.561	356.261	1035.754	280.390	324.506	1325.487	140.311	106.406	1539.674	275.959	-27.076	1560.133	386.975	48.784	1586.672	280.637	175.324	1599.641
163.714	-1011.605	189.523	267.941	1205.739	186.706	229.339	875.620	240.835	275.082	-41.425	-23.227	272.994	260.611	-22.484	116.732	-70.979	-2.229	142.309	-89.892	246.406	180.011	-81.909	411.108	115.232	288.454	-5.807	151.757	297.271	217.018	200.932	282.130	416.935	241.473	-96.644	595.734	250.587	305.287	608.009	377.106	331.673	823.069	364.581	-152.824	825.344	212.351	301.943	830.488	213.506	-99.846	839.877	129.080	116.233	933.051	153.108	117.750	993.530	141.151	120.195	1082.141	188.877	106.235	1398.408	253.413	-95.668	1327.401	278.103	-144.168	1021.063	293.054	356.300	1035.883	280.457	324.520	1325.544	140.095	106.718	1539.644	275.584	-26.900	1560.170	386.706	48.787	1586.701	280.538	175.502	1599.560
163.683	-1011.616	189.500	268.249	1204.085	186.197	229.306	875.609	240.810	277.239	-42.388	-22.264	271.404	261.679	-22.960	116.721	-70.961	-2.254	142.282	-89.869	246.374	179.959	-81.871	411.088	115.226	288.500	-5.741	151.787	297.281	217.038	200.933	282.148	416.955	241.373	-96.644	595.747	250.623	305.300	608.004	377.799	331.814	823.270	363.145	-151.594	824.890	212.378	301.956	830.470	213.413	-99.836	839.901	129.055	116.242	933.026	156.271	115.941	990.917	144.545	118.341	1079.515	187.113	107.112	1398.902	253.150	-95.630	1327.470	277.986	-143.946	1021.096	293.537	356.353	1035.995	280.517	324.505	1325.584	139.931	107.008	1539.565	275.255	-26.749	1560.273	386.411	48.842	1586.830	280.510	175.766	1599.303
164.106	-1012.148	190.282	267.183	1205.902	185.993	228.359	877.458	240.506	277.900	-42.290	-21.898	270.618	263.391	-23.982	117.504	-70.789	-2.317	143.340	-88.698	245.840	180.925	-81.850	410.851	114.642	291.997	-5.611	150.901	299.022	216.280	200.217	283.680	416.123	242.125	-97.450	595.493	249.898	306.926	607.764	377.896	332.441	822.599	363.408	-150.965	824.464	211.764	303.484	829.990	214.191	-100.455	839.079	128.601	116.890	931.706	156.163	114.560	989.650	144.367	116.851	1078.248	186.784	107.218	1398.360	253.608	-96.308	1327.223	278.163	-144.145	1020.965	293.278	357.403	1035.425	279.981	324.607	1324.582	139.467	106.795	1538.755	275.765	-26.458	1560.199	387.811	47.085	1586.338	279.892	175.768	1598.330
163.320	-1011.160	189.679	268.315	1204.358	185.938	229.444	875.915	240.513	277.289	-42.360	-22.260	271.493	261.917	-23.297	116.140	-70.290	-1.807	142.390	-87.829	245.982	179.070	-80.531	411.680	114.845	290.748	-4.753	151.839	297.597	216.750	200.990	282.419	416.677	240.986	-96.200	596.073	250.735	305.573	607.693	379.161	332.141	823.269	363.359	-149.783	825.686	212.433	302.270	830.136	212.888	-99.233	840.176	128.811	116.680	932.336	154.768	116.623	991.252	142.798	119.082	1079.825	186.278	107.830	1398.874	252.297	-95.148	1327.696	277.062	-142.525	1021.572	294.336	356.696	1035.871	280.500	324.630	1325.418	138.021	109.086	1539.857	274.512	-25.867	1560.584	386.277	48.835	1587.286	279.955	176.218	1598.906
163.222	-1011.112	189.683	268.334	1204.354	185.895	229.453	875.888	240.480	277.221	-42.383	-22.149	271.475	261.916	-23.300	115.052	-69.553	-1.034	142.296	-87.791	246.072	178.932	-80.419	411.642	114.850	290.773	-4.710	151.869	297.598	216.731	200.993	282.440	416.674	239.963	-97.392	596.772	250.761	305.569	607.638	379.805	332.370	823.486	363.584	-149.385	825.784	212.480	302.286	830.102	212.657	-99.114	840.234	128.806	116.756	932.333	154.632	116.826	991.361	142.644	119.269	1079.876	186.033	107.928	1398.922	251.931	-95.033	1327.773	276.805	-142.293	1021.538	294.722	356.774	1035.996	280.464	324.635	1325.467	137.813	109.289	1539.733	274.210	-25.620	1560.676	385.910	48.945	1587.474	279.705	176.422	1598.879
163.174	-1011.090	189.656	268.348	1204.322	185.874	229.482	875.891	240.441	277.146	-42.359	-22.178	271.428	261.901	-23.260	115.045	-69.599	-1.057	142.203	-87.740	246.071	178.896	-80.364	411.656	114.860	290.768	-4.730	151.895	297.597	216.735	200.990	282.426	416.661	239.834	-97.197	596.817	250.743	305.600	607.604	380.468	332.635	823.731	363.711	-148.987	825.782	212.504	302.305	830.114	212.465	-99.047	840.324	128.722	116.810	932.305	154.494	116.950	991.350	142.502	119.394	1079.908	185.791	108.014	1398.907	251.614	-94.986	1327.815	276.552	-142.039	1021.548	295.062	356.897	1036.101	280.415	324.677	1325.556	137.600	109.394	1539.561	273.915	-25.429	1560.766	385.612	49.159	1587.683	279.410	176.624	1598.871
163.099	-1011.081	189.624	268.353	1204.349	185.863	229.485	875.898	240.444	277.122	-42.341	-22.158	271.417	261.906	-23.293	115.024	-69.603	-1.073	142.169	-87.722	246.087	178.804	-80.319	411.634	114.877	290.771	-4.722	151.899	297.595	216.751	200.994	282.433	416.667	239.866	-96.862	596.858	250.755	305.658	607.615	381.083	332.943	823.976	363.818	-148.585	825.801	212.512	302.327	830.111	212.317	-98.967	840.325	128.667	116.868	932.310	154.440	116.994	991.366	142.377	119.485	1079.902	185.525	108.132	1398.904	251.306	-94.899	1327.894	276.366	-141.723	1021.520	295.395	357.040	1036.222	280.360	324.687	1325.640	137.380	109.460	1539.368	273.679	-25.190	1560.784	385.321	49.385	1587.886	279.033	176.832	1598.848
163.077	-1011.046	189.626	268.355	1204.336	185.839	229.488	875.883	240.443	277.067	-42.340	-22.187	271.424	261.909	-23.224	115.056	-69.577	-1.050	142.128	-87.691	246.114	178.766	-80.272	411.643	114.903	290.766	-4.696	151.890	297.591	216.740	200.986	282.434	416.665	239.848	-96.591	596.889	250.782	305.682	607.597	381.752	333.300	824.224	363.933	-148.192	825.839	212.557	302.342	830.123	212.162	-98.911	840.325	128.638	116.927	932.267	154.324	117.086	991.369	142.263	119.571	1079.845	184.530	109.023	1399.415	251.046	-94.845	1327.922	276.145	-141.426	1021.485	295.717	357.188	1036.373	280.247	324.717	1325.706	137.156	109.465	1539.192	273.516	-24.992	1560.865	385.021	49.672	1588.058	278.658	177.025	1598.832
