NO_OF_FRAMES	3646
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	user4 - model - combined
TIME_STAMP	2018-11-28, 11:15:19	316087.58002700
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
176.092	-1014.376	191.320	257.991	1202.377	189.112	201.998	870.993	152.013	236.328	-30.085	-20.858	240.611	261.708	-22.850	75.359	-58.679	-4.721	95.718	-76.264	239.451	126.145	-69.500	404.392	82.535	298.720	-8.398	110.604	305.164	209.867	144.569	290.736	412.717	168.134	-83.645	594.781	175.596	318.665	607.244	284.280	365.008	824.155	279.760	-116.409	828.015	123.691	318.494	829.431	121.871	-89.562	836.631	41.467	128.497	941.823	72.276	129.766	1003.732	72.682	133.663	1094.092	138.482	129.812	1407.891	199.222	-69.768	1339.710	210.159	-114.161	1032.265	208.481	379.697	1040.751	211.858	344.682	1327.488	103.108	162.081	1570.975	232.576	17.851	1578.537	351.130	85.624	1568.852	257.447	221.338	1589.822
176.138	-1014.372	191.374	258.015	1202.347	189.060	201.988	870.998	151.969	236.316	-30.104	-20.756	240.621	261.689	-22.825	75.371	-58.652	-4.731	95.434	-76.297	239.494	125.514	-69.578	404.452	82.557	298.699	-8.390	110.389	305.126	209.862	144.092	290.703	412.778	167.425	-83.858	594.607	174.790	318.652	607.269	284.127	365.362	823.924	279.815	-117.058	827.819	122.874	318.504	829.542	120.771	-89.713	836.795	40.853	128.609	942.358	71.944	129.862	1004.358	72.805	133.766	1094.562	139.745	129.796	1408.078	200.279	-69.928	1339.619	210.678	-114.399	1032.229	209.067	379.751	1040.825	213.053	344.578	1327.489	106.133	162.144	1572.540	235.345	17.683	1578.214	353.891	85.162	1566.928	260.799	221.059	1589.328
176.095	-1014.365	191.292	257.995	1202.366	189.114	201.953	870.991	152.008	236.331	-30.111	-20.814	240.636	261.693	-22.839	75.307	-58.691	-4.804	94.996	-76.393	239.508	124.803	-69.669	404.490	82.544	298.689	-8.411	110.154	305.118	209.842	143.595	290.685	412.824	166.456	-84.073	594.618	173.971	318.667	607.298	283.991	365.734	823.599	279.868	-117.626	827.572	121.995	318.515	829.592	119.598	-89.816	836.923	40.117	128.652	942.958	71.612	129.908	1004.785	72.993	133.804	1094.983	141.028	129.732	1408.230	201.373	-70.082	1339.488	211.301	-114.636	1032.101	209.813	379.695	1040.841	214.317	344.469	1327.430	109.379	162.260	1574.385	238.396	17.475	1577.844	356.838	84.667	1564.698	264.431	220.764	1588.692
176.094	-1014.359	191.303	257.977	1202.320	189.032	201.961	871.096	152.080	236.287	-30.155	-20.768	240.636	261.693	-22.815	75.346	-58.707	-4.839	94.607	-76.446	239.541	124.100	-69.749	404.556	82.543	298.672	-8.426	109.931	305.107	209.884	143.048	290.669	412.882	165.367	-84.288	594.689	173.076	318.696	607.358	283.915	366.079	823.281	280.011	-118.254	827.225	121.079	318.501	829.695	118.349	-89.933	837.081	39.460	128.751	943.537	71.243	129.984	1005.305	73.173	133.877	1095.358	142.264	129.699	1408.473	202.514	-70.162	1339.281	211.963	-114.853	1031.948	210.757	379.586	1040.862	215.654	344.320	1327.343	112.959	162.272	1576.402	241.750	17.266	1577.310	360.007	84.210	1562.117	268.355	220.462	1587.961
176.145	-1014.388	191.361	258.000	1202.342	189.080	201.994	871.002	151.949	236.259	-30.136	-20.772	240.631	261.702	-22.839	75.274	-58.755	-4.827	94.143	-76.502	239.566	123.204	-69.829	404.601	82.530	298.673	-8.448	109.638	305.090	209.890	142.419	290.629	412.921	164.191	-84.459	594.749	172.134	318.694	607.374	283.882	366.493	822.872	280.143	-118.811	826.801	120.122	318.521	829.780	117.035	-89.996	837.214	38.737	128.879	944.117	70.873	130.053	1005.791	73.297	133.928	1095.759	143.541	129.642	1408.638	203.728	-70.311	1339.026	212.698	-115.112	1031.728	211.836	379.432	1040.879	217.037	344.172	1327.271	116.864	162.234	1578.589	245.430	17.021	1576.656	363.434	83.700	1559.182	272.544	220.135	1587.105
176.112	-1014.358	191.315	257.968	1202.329	189.020	201.996	870.964	151.875	236.262	-30.141	-20.735	240.654	261.707	-22.833	75.185	-58.774	-4.864	93.535	-76.562	239.512	122.302	-69.906	404.659	82.511	298.668	-8.459	109.315	305.065	209.873	141.751	290.585	412.915	162.961	-84.643	594.813	171.117	318.744	607.483	283.870	366.902	822.447	280.320	-119.410	826.257	119.138	318.526	829.859	115.707	-90.096	837.435	37.953	128.963	944.772	70.491	130.089	1006.252	73.368	133.989	1096.118	144.803	129.604	1408.881	204.926	-70.442	1338.759	213.587	-115.360	1031.500	212.962	379.238	1040.890	218.467	343.995	1327.166	121.186	162.196	1581.012	249.395	16.734	1575.888	367.040	83.191	1555.793	277.087	219.738	1586.048
176.099	-1014.356	191.294	258.007	1202.375	189.069	201.944	871.045	152.031	236.236	-30.188	-20.754	240.679	261.730	-22.807	75.178	-58.821	-4.886	92.964	-76.638	239.539	121.353	-69.989	404.752	82.525	298.645	-8.469	108.997	305.044	209.906	141.106	290.547	412.968	161.622	-84.817	594.852	170.117	318.720	607.499	283.932	367.291	821.936	280.540	-119.961	825.739	118.136	318.484	829.985	114.333	-90.217	837.587	37.168	129.060	945.393	70.045	130.134	1006.738	73.476	134.039	1096.431	146.094	129.521	1409.079	206.187	-70.540	1338.477	214.419	-115.565	1031.205	214.308	378.950	1040.831	219.996	343.750	1327.004	125.053	163.426	1584.566	253.708	16.436	1574.904	370.840	82.654	1551.996	281.974	219.331	1584.783
176.137	-1014.368	191.329	257.994	1202.320	189.042	201.910	871.091	152.096	236.217	-30.212	-20.743	240.665	261.713	-22.797	75.110	-58.861	-4.976	92.430	-76.716	239.525	120.392	-70.090	404.841	82.504	298.633	-8.516	108.652	305.036	209.911	140.409	290.530	413.058	160.291	-85.023	594.843	169.079	318.691	607.528	284.022	367.745	821.414	280.764	-120.590	825.138	117.100	318.464	830.081	112.924	-90.316	837.731	36.350	129.120	946.021	69.567	130.159	1007.202	73.468	134.038	1096.845	147.430	129.440	1409.272	207.430	-70.649	1338.167	215.461	-115.755	1030.875	215.713	378.584	1040.638	221.568	343.494	1326.854	130.218	163.447	1587.452	258.416	16.092	1573.722	374.934	82.068	1547.738	287.245	218.888	1583.285
176.119	-1014.380	191.346	257.998	1202.335	189.069	201.974	870.993	151.932	236.154	-30.229	-20.675	240.698	261.708	-22.808	75.062	-58.876	-4.974	91.743	-76.807	239.478	119.401	-70.206	404.931	82.469	298.653	-8.526	108.320	305.053	209.973	139.694	290.496	413.104	158.954	-85.260	594.753	168.004	318.743	607.603	284.152	368.211	820.815	281.009	-121.167	824.497	115.974	318.461	830.171	111.467	-90.450	837.838	35.387	129.231	946.702	68.973	130.227	1007.738	73.405	134.040	1097.203	148.767	129.366	1409.495	208.645	-70.759	1337.900	216.584	-115.900	1030.487	217.187	378.253	1040.553	223.061	343.252	1326.624	135.890	163.217	1590.410	263.451	15.669	1572.343	379.210	81.472	1542.970	293.192	218.260	1581.842
176.099	-1014.356	191.313	257.997	1202.360	189.054	201.932	871.062	152.039	236.139	-30.229	-20.657	240.657	261.758	-22.798	75.030	-58.919	-4.979	91.122	-76.898	239.544	118.276	-70.261	404.967	82.488	298.639	-8.504	107.943	305.045	209.992	138.937	290.475	413.165	157.622	-85.512	594.590	166.925	318.786	607.673	284.288	368.708	820.244	281.299	-121.795	823.835	114.852	318.491	830.258	110.023	-90.557	837.977	31.976	128.358	950.953	68.391	130.294	1008.269	73.296	134.085	1097.559	150.184	129.273	1409.728	209.880	-70.858	1337.579	217.686	-116.010	1030.150	218.893	377.519	1040.313	224.709	342.934	1326.377	142.218	162.921	1593.411	268.907	15.209	1570.802	383.691	80.879	1537.728	299.236	217.735	1579.775
