NO_OF_FRAMES	4660
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	valerio - bad - combined
TIME_STAMP	2018-12-13, 17:55:51	254697.16516621
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
131.194	-1099.067	190.758	143.191	1121.568	189.878	158.655	790.361	260.072	71.804	-161.504	-22.578	103.846	181.094	-22.222	-82.710	-147.042	2.886	-25.686	-164.583	239.559	24.089	-150.734	397.506	-45.707	193.705	-4.376	-17.080	198.321	209.474	12.972	189.812	413.160	70.795	-164.630	589.288	55.186	204.146	607.564	93.761	264.143	717.504	118.597	-245.379	740.217	24.583	191.289	818.214	29.765	-170.672	819.347	-64.464	11.614	927.022	-64.138	6.869	994.812	-66.410	7.536	1050.427	-28.825	3.781	1370.277	15.346	-232.584	1271.540	7.913	-251.205	986.308	55.606	273.522	1018.202	42.130	239.660	1292.728	-61.429	-35.144	1538.257	117.032	-98.251	1577.742	187.803	18.322	1569.666	43.810	106.650	1566.724
131.191	-1099.069	190.708	143.125	1121.571	189.848	158.677	790.381	260.067	71.802	-161.497	-22.620	103.853	181.096	-22.225	-82.727	-147.042	2.848	-25.746	-164.634	239.538	23.971	-150.769	397.529	-45.716	193.664	-4.410	-17.142	198.354	209.464	12.896	189.822	413.130	70.595	-164.654	589.290	55.069	204.122	607.521	93.764	264.059	717.486	118.559	-245.384	740.257	24.415	191.281	818.221	29.535	-170.675	819.374	-64.571	11.616	927.057	-64.196	6.889	994.857	-66.433	7.562	1050.498	-28.605	3.818	1370.312	15.465	-232.563	1271.579	7.947	-251.176	986.364	55.751	273.497	1018.201	42.397	239.695	1292.779	-60.964	-35.100	1538.446	117.607	-98.212	1577.575	189.085	18.356	1570.055	44.345	106.701	1566.721
131.188	-1099.074	190.757	143.159	1121.582	189.900	158.664	790.381	260.091	71.785	-161.475	-22.568	103.867	181.074	-22.247	-82.712	-147.047	2.863	-25.814	-164.635	239.572	23.877	-150.765	397.508	-45.739	193.690	-4.410	-17.154	198.351	209.456	12.811	189.820	413.116	70.462	-164.679	589.326	54.961	204.084	607.486	93.782	264.017	717.490	118.524	-245.383	740.319	24.319	191.227	818.187	29.394	-170.706	819.398	-64.698	11.598	927.153	-64.299	6.890	994.976	-66.471	7.577	1050.623	-27.562	3.393	1369.927	15.612	-232.530	1271.694	7.953	-251.158	986.437	55.884	273.512	1018.216	42.716	239.722	1292.770	-60.479	-35.046	1538.671	118.089	-98.198	1577.471	189.610	18.377	1569.780	44.878	106.723	1566.733
131.223	-1099.103	190.774	143.143	1121.586	189.876	158.659	790.382	260.068	71.802	-161.471	-22.563	103.871	181.116	-22.194	-82.724	-147.054	2.830	-25.824	-164.646	239.586	23.851	-150.779	397.566	-45.689	193.721	-4.357	-17.167	198.320	209.438	12.795	189.833	413.154	70.375	-164.699	589.360	54.901	204.111	607.506	93.848	263.983	717.513	118.511	-245.392	740.369	24.210	191.221	818.196	29.281	-170.714	819.444	-64.824	11.613	927.207	-64.423	6.887	995.075	-66.563	7.612	1050.776	-27.339	3.442	1370.029	15.765	-232.477	1271.767	7.985	-251.155	986.516	56.067	273.500	1018.180	43.015	239.763	1292.771	-60.023	-34.977	1538.865	118.540	-98.184	1577.371	190.111	18.402	1569.516	45.407	106.764	1566.742
131.212	-1099.074	190.766	143.180	1121.565	189.890	158.651	790.375	260.081	71.808	-161.457	-22.529	103.826	181.060	-22.243	-82.765	-147.069	2.859	-25.877	-164.671	239.591	23.751	-150.793	397.548	-45.702	193.717	-4.389	-17.188	198.332	209.441	12.738	189.829	413.112	70.302	-164.699	589.371	54.797	204.077	607.495	93.935	263.933	717.485	118.458	-245.387	740.421	24.083	191.213	818.194	29.123	-170.735	819.427	-64.972	11.576	927.298	-64.561	6.880	995.186	-66.643	7.623	1050.830	-27.864	4.007	1370.531	15.907	-232.431	1271.851	8.033	-251.137	986.571	56.240	273.499	1018.190	43.333	239.802	1292.771	-59.530	-34.928	1539.026	119.094	-98.158	1577.235	189.905	18.403	1568.662	45.968	106.796	1566.726
131.203	-1099.079	190.778	143.166	1121.590	189.881	158.637	790.369	260.121	71.824	-161.467	-22.589	103.841	181.073	-22.211	-82.739	-147.084	2.824	-25.886	-164.713	239.602	23.681	-150.831	397.559	-45.698	193.728	-4.403	-17.197	198.329	209.429	12.726	189.793	413.132	70.110	-164.727	589.346	54.770	204.050	607.559	93.961	263.897	717.457	118.387	-245.386	740.457	23.901	191.173	818.177	29.021	-170.746	819.449	-65.137	11.560	927.298	-64.673	6.858	995.213	-66.723	7.603	1050.919	-27.672	4.026	1370.638	16.044	-232.405	1271.922	8.018	-251.126	986.624	56.419	273.530	1018.146	43.634	239.824	1292.780	-59.077	-34.823	1539.162	119.564	-98.142	1577.098	191.185	18.369	1569.030	46.504	106.837	1566.675
131.192	-1099.067	190.720	143.166	1121.585	189.859	158.670	790.389	260.071	71.770	-161.484	-22.596	103.864	181.050	-22.204	-82.797	-147.105	2.832	-25.924	-164.709	239.567	23.566	-150.846	397.503	-45.676	193.707	-4.415	-17.171	198.298	209.437	12.701	189.757	413.097	70.048	-164.747	589.333	54.695	203.982	607.528	94.080	263.854	717.428	118.314	-245.409	740.459	23.707	191.147	818.172	28.866	-170.767	819.456	-65.309	11.519	927.338	-64.823	6.836	995.329	-66.810	7.590	1051.014	-27.423	4.079	1370.710	16.171	-232.355	1271.959	8.018	-251.137	986.684	56.607	273.555	1018.168	43.940	239.875	1292.778	-58.621	-34.736	1539.286	120.786	-98.447	1576.422	191.725	18.380	1568.787	47.087	106.892	1566.644
131.180	-1099.081	190.717	143.180	1121.595	189.894	158.659	790.378	260.072	71.785	-161.461	-22.592	103.883	181.055	-22.206	-82.777	-147.131	2.800	-25.934	-164.720	239.536	23.549	-150.867	397.523	-45.638	193.696	-4.406	-17.118	198.287	209.435	12.690	189.725	413.080	69.902	-164.826	589.360	54.631	203.960	607.532	94.118	263.842	717.396	118.243	-245.442	740.504	23.522	191.132	818.187	28.734	-170.805	819.446	-65.454	11.471	927.370	-64.942	6.810	995.421	-66.908	7.569	1051.094	-27.092	4.148	1370.771	16.358	-232.334	1272.029	7.976	-251.149	986.720	56.812	273.563	1018.142	44.300	239.913	1292.796	-58.121	-34.627	1539.382	121.264	-98.423	1576.264	192.280	18.356	1568.533	47.607	106.943	1566.587
131.195	-1099.070	190.753	143.194	1121.602	189.913	158.671	790.379	260.088	71.781	-161.486	-22.592	103.883	181.041	-22.182	-82.772	-147.123	2.791	-26.000	-164.712	239.534	23.482	-150.878	397.456	-45.658	193.706	-4.410	-17.094	198.268	209.435	12.749	189.694	413.105	69.867	-164.786	589.369	54.646	204.002	607.610	94.253	263.819	717.371	118.148	-245.466	740.489	23.289	191.107	818.221	28.516	-170.816	819.417	-65.636	11.427	927.408	-65.092	6.768	995.486	-67.005	7.555	1051.215	-26.872	4.246	1370.823	16.533	-232.266	1272.033	7.998	-251.161	986.774	56.983	273.629	1018.126	44.661	239.938	1292.784	-57.682	-34.505	1539.501	121.741	-98.396	1576.146	192.837	18.344	1568.298	48.228	107.022	1566.513
131.197	-1099.079	190.746	143.172	1121.578	189.891	158.673	790.394	260.087	71.752	-161.506	-22.606	103.920	181.043	-22.175	-82.772	-147.146	2.724	-25.959	-164.737	239.535	23.499	-150.884	397.466	-45.610	193.699	-4.371	-17.067	198.224	209.387	12.767	189.668	413.125	69.709	-164.837	589.328	54.563	203.929	607.568	94.319	263.811	717.368	118.058	-245.510	740.468	23.118	191.119	818.219	28.419	-170.849	819.434	-65.808	11.371	927.490	-65.244	6.736	995.597	-67.140	7.512	1051.318	-25.751	3.792	1370.429	16.702	-232.227	1272.045	8.022	-251.196	986.803	57.207	273.680	1018.111	45.043	239.969	1292.789	-57.171	-34.371	1539.595	122.320	-98.310	1575.954	192.617	18.360	1567.432	48.807	107.081	1566.482
